"平成７年","人口（人）_総数_総数","人口（人）_総数_15歳未満","人口（人）_総数_15～64歳","人口（人）_総数_65歳以上","人口（人）_男_総数","人口（人）_男_15歳未満","人口（人）_男_15～64歳","人口（人）_男_65歳以上","人口（人）_女_総数","人口（人）_女_15歳未満","人口（人）_女_15～64歳","人口（人）_女_65歳以上","割合（％）_総数_15歳未満","割合（％）_総数_15～64歳","割合（％）_総数_65歳以上","割合（％）_男_15歳未満","割合（％）_男_15～64歳","割合（％）_男_65歳以上","割合（％）_女_15歳未満","割合（％）_女_15～64歳","割合（％）_女_65歳以上"
"30000_和歌山県","1080435.0","175660.0","709092.0","195575.0","513450.0","90220.0","344479.0","78683.0","566985.0","85440.0","364613.0","116892.0","16.25826634642528","65.6302322675589","18.10150541217195","17.571331190963093","67.09105073522251","15.324374330509299","15.069181724384242","64.30734499149008","20.616418423767826"
"30201_和歌山市","393885.0","61870.0","271973.0","59995.0","187664.0","31765.0","131920.0","23943.0","206221.0","30105.0","140053.0","36052.0","15.707630399735963","69.04883405054775","15.23160313289412","16.926528263279053","70.29584789837156","12.758440617273425","14.598416262165347","67.9140339732617","17.482215681235182"
"30202_海南市","47195.0","6796.0","30501.0","9898.0","22007.0","3489.0","14547.0","3971.0","25188.0","3307.0","15954.0","5927.0","14.399830490518065","64.62760885687044","20.972560652611506","15.854046439769165","66.10169491525424","18.044258644976598","13.129267905351755","63.33968556455455","23.531046530093697"
"30203_橋本市","53469.0","10567.0","35376.0","7526.0","25664.0","5449.0","17171.0","3044.0","27805.0","5118.0","18205.0","4482.0","19.762853242065496","66.1617011726421","14.075445585292412","21.232076059850375","66.90695137157108","11.860972568578553","18.406761373853623","65.47383564107176","16.119402985074625"
"30204_有田市","34283.0","5843.0","22421.0","6019.0","16208.0","2937.0","10893.0","2378.0","18075.0","2906.0","11528.0","3641.0","17.043432605081236","65.39976081439781","17.55680658052096","18.120681145113522","67.20755182625864","14.671767028627839","16.077455048409405","63.778699861687414","20.14384508990318"
"30205_御坊市","28510.0","4705.0","18449.0","5356.0","13797.0","2449.0","9185.0","2163.0","14713.0","2256.0","9264.0","3193.0","16.502981410031566","64.71062784987723","18.786390740091196","17.750235558454737","66.57244328477205","15.67732115677321","15.333378644735948","62.96472507306463","21.701896282199414"
"30206_田辺市","70246.0","12259.0","45786.0","12192.0","33302.0","6364.0","22058.0","4875.0","36944.0","5895.0","23728.0","7317.0","17.4515274891097","65.17951200068332","17.35614839279105","19.10996336556363","66.23626208636118","14.63876043480872","15.956582936336074","64.22693806842788","19.805651797314855"
"30207_新宮市","34134.0","5346.0","21628.0","7155.0","15779.0","2767.0","10250.0","2760.0","18355.0","2579.0","11378.0","4395.0","15.661803480400774","63.36204371008378","20.961504658112144","17.535965523797454","64.95975663857025","17.491602763166235","14.050667393080904","61.98855897575592","23.944429310814492"
"30301_下津町","15439.0","2374.0","9934.0","3131.0","7356.0","1236.0","4820.0","1300.0","8083.0","1138.0","5114.0","1831.0","15.376643564997734","64.3435455664227","20.27981086857957","16.802610114192497","65.52474170744969","17.672648178357804","14.078931089941854","63.26858839539775","22.652480514660397"
"30302_野上町","8955.0","1195.0","5575.0","2185.0","4194.0","629.0","2692.0","873.0","4761.0","566.0","2883.0","1312.0","13.344500279173646","62.25572305974316","24.399776661083195","14.997615641392464","64.1869337148307","20.815450643776824","11.888258769166143","60.55450535601764","27.557235874816215"
"30303_美里町","4423.0","509.0","2315.0","1599.0","2031.0","260.0","1101.0","670.0","2392.0","249.0","1214.0","929.0","11.508026226543072","52.340040696359935","36.15193307709699","12.801575578532741","54.20974889217134","32.98867552929591","10.409698996655518","50.75250836120402","38.83779264214047"
"30321_打田町","14635.0","2488.0","9539.0","2608.0","6931.0","1246.0","4614.0","1071.0","7704.0","1242.0","4925.0","1537.0","17.000341646737276","65.17936453706868","17.820293816194056","17.977203866685905","66.57048045015149","15.452315683162604","16.121495327102803","63.92782969885774","19.950674974039458"
"30322_粉河町","17016.0","2772.0","10643.0","3554.0","8060.0","1443.0","5170.0","1422.0","8956.0","1329.0","5473.0","2132.0","16.29055007052186","62.5470145745181","20.886224729666196","17.903225806451616","64.1439205955335","17.64267990074442","14.839213934792317","61.10987047789192","23.805270209915143"
"30323_那賀町","9103.0","1430.0","5831.0","1842.0","4290.0","745.0","2789.0","756.0","4813.0","685.0","3042.0","1086.0","15.709106887839175","64.05580577831485","20.235087333845986","17.365967365967368","65.01165501165501","17.622377622377623","14.232287554539788","63.20382297943071","22.563889466029504"
"30324_桃山町","8026.0","1212.0","5099.0","1715.0","3797.0","623.0","2473.0","701.0","4229.0","589.0","2626.0","1014.0","15.100922003488662","63.53102417144281","21.36805382506853","16.407690281801422","65.13036607848302","18.461943639715564","13.927642468668717","62.09505793331756","23.977299598013715"
"30325_貴志川町","20022.0","4058.0","13224.0","2740.0","9650.0","2078.0","6441.0","1131.0","10372.0","1980.0","6783.0","1609.0","20.267705523923684","66.04734791729098","13.684946558785335","21.533678756476686","66.74611398963731","11.72020725388601","19.089857308137294","65.39722329348245","15.512919398380253"
"30326_岩出町","41550.0","8478.0","28779.0","4293.0","20250.0","4354.0","14174.0","1722.0","21300.0","4124.0","14605.0","2571.0","20.404332129963898","69.26353790613719","10.332129963898918","21.501234567901236","69.99506172839506","8.503703703703703","19.36150234741784","68.5680751173709","12.070422535211268"
"30341_かつらぎ町","21393.0","3207.0","13681.0","4505.0","10136.0","1626.0","6690.0","1820.0","11257.0","1581.0","6991.0","2685.0","14.990884868882345","63.9508250362268","21.058290094890854","16.041831097079715","66.00236779794791","17.955801104972377","14.044594474549168","62.103579994669985","23.85182553078085"
"30342_高野口町","15860.0","2485.0","10579.0","2796.0","7516.0","1277.0","5128.0","1111.0","8344.0","1208.0","5451.0","1685.0","15.668348045397225","66.70239596469104","17.629255989911726","16.990420436402342","68.22778073443321","14.78179882916445","14.477468839884947","65.32837967401726","20.194151486097795"
"30343_九度山町","6661.0","913.0","4184.0","1564.0","3133.0","444.0","2059.0","630.0","3528.0","469.0","2125.0","934.0","13.706650653055096","62.81339138267528","23.47995796426963","14.171720395786785","65.71975742100223","20.10852218321098","13.293650793650794","60.23242630385488","26.47392290249433"
"30344_高野町","6386.0","632.0","4392.0","1362.0","3536.0","317.0","2687.0","532.0","2850.0","315.0","1705.0","830.0","9.896648919511431","68.77544628875665","21.327904791731914","8.964932126696832","75.98981900452489","15.04524886877828","11.052631578947368","59.82456140350877","29.122807017543863"
"30345_花園村","659.0","83.0","373.0","203.0","320.0","45.0","183.0","92.0","339.0","38.0","190.0","111.0","12.5948406676783","56.600910470409715","30.804248861911987","14.0625","57.1875","28.75","11.209439528023598","56.04719764011799","32.743362831858406"
"30361_湯浅町","16067.0","2563.0","10370.0","3134.0","7553.0","1321.0","5070.0","1162.0","8514.0","1242.0","5300.0","1972.0","15.95195120433186","64.5422294143275","19.505819381340636","17.489739176486164","67.12564543889845","15.384615384615385","14.587737843551796","62.25041108762039","23.16185106882781"
"30362_広川町","8735.0","1508.0","5606.0","1621.0","4197.0","775.0","2757.0","665.0","4538.0","733.0","2849.0","956.0","17.263880938752145","64.1785918717802","18.55752718946766","18.46557064569931","65.68977841315225","15.844650941148439","16.152490083737327","62.7809607756721","21.066549140590567"
